data,latitude,longitude,mes,temp_superficie,umidade_relativa,ndvi,ndwi,precipitacao_30d,velocidade_vento,frp_fogo,dist_estrada_km,dist_area_protegida_km,densidade_pop,altitude_m,dias_sem_chuva,estacao_seca,risco_score,risco_desmatamento
2022-04-30,-12.5592,-49.1828,4,29.29,63.91,0.6106,0.6965,176.36,14.81,0.8,25.52,67.89,12.23,239.3,0.0,0,0.3326,Baixo
2019-06-13,-5.0965,-57.2858,6,34.04,49.16,0.5328,0.1976,70.46,14.89,6.07,0.07,9.38,12.04,377.9,40.3,1,0.6849,Alto
2020-05-03,-14.3122,-58.3451,5,23.36,69.52,0.7217,0.7695,209.82,11.38,1.14,7.3,16.27,19.26,629.7,0.0,0,0.1861,Baixo
2021-02-04,3.1864,-69.7865,2,29.57,79.11,0.5811,0.5928,156.5,13.28,1.06,8.17,43.67,0.91,317.5,0.0,0,0.3083,Baixo
2020-01-21,-9.8244,-48.9161,1,27.95,79.36,0.6328,0.5662,102.83,7.66,1.4,2.45,32.94,1.15,2.6,4.7,0,0.2315,Baixo
2020-02-20,-1.7496,-52.7612,2,30.4,76.62,0.7071,0.5299,140.78,17.08,3.37,8.2,24.71,10.23,443.1,0.0,0,0.4274,Médio
2019-08-26,-8.7658,-71.1053,8,31.81,59.12,0.5579,0.1772,41.7,0.87,8.42,9.68,92.0,30.77,265.2,41.1,1,0.4904,Médio
2020-10-26,-4.5986,-53.1806,10,21.65,74.18,0.6414,0.58,152.25,11.65,3.2,86.66,9.92,6.27,310.5,0.0,0,0.0746,Baixo
2022-04-02,-4.0658,-57.7809,4,28.56,81.01,0.6133,0.578,112.6,16.56,0.21,27.61,54.1,32.33,383.7,0.0,0,0.3746,Médio
2019-01-03,-11.3029,-70.7117,1,28.58,75.04,0.6978,0.476,101.07,6.54,3.22,13.88,6.93,27.82,33.8,1.5,0,0.3859,Médio
2022-09-02,4.3917,-60.1676,9,30.62,55.29,0.5592,0.1134,7.77,13.6,5.26,110.68,38.26,23.32,301.0,31.1,1,0.4735,Médio
2021-06-11,0.5027,-59.4285,6,32.04,53.67,0.4418,0.2338,54.23,9.28,5.27,4.16,81.8,24.06,238.5,27.8,1,0.5681,Médio
2022-02-11,3.79,-68.3583,2,33.51,78.42,0.5898,0.7221,197.41,10.52,5.91,16.16,24.49,22.86,483.3,0.0,0,0.552,Médio
2020-10-12,2.8965,-46.5205,10,27.39,72.89,0.6613,0.6993,177.5,15.78,3.42,26.04,51.54,17.14,409.1,0.0,0,0.2424,Baixo
2021-11-23,-3.042,-49.2007,11,29.46,79.88,0.6815,0.674,181.72,12.79,1.61,1.43,68.68,11.87,55.9,0.0,0,0.3687,Médio
2018-01-30,3.4375,-54.2674,1,26.7,69.34,0.635,0.5742,147.58,3.86,4.16,31.56,5.85,0.25,489.4,1.1,0,0.3243,Baixo
2022-02-02,-13.2301,-60.0557,2,23.82,69.51,0.684,0.478,97.74,8.09,9.09,2.63,48.94,1.42,367.4,0.0,0,0.2847,Baixo
2018-03-15,-11.0803,-61.4706,3,27.66,78.44,0.6145,0.574,136.34,15.9,1.89,3.78,100.95,1.44,67.9,7.7,0,0.2717,Baixo
2022-06-13,-14.0955,-54.7727,6,33.47,54.56,0.3943,0.157,22.24,13.8,6.9,4.35,34.36,0.24,308.4,41.1,1,0.6297,Médio
2022-12-16,-8.4934,-57.7279,12,27.2,72.73,0.6288,0.5628,135.09,18.99,2.81,66.09,8.24,1.24,455.2,0.0,0,0.2842,Baixo
2019-06-21,-7.2265,-71.2564,6,33.77,59.45,0.5032,0.1642,31.64,18.73,5.53,28.74,5.43,25.23,117.9,31.9,1,0.5715,Médio
2019-01-19,-9.573,-58.6499,1,28.53,71.96,0.6362,0.5506,163.24,10.63,0.37,26.64,12.03,10.9,506.6,0.0,0,0.4365,Médio
2021-10-28,1.5748,-50.4207,10,27.7,74.0,0.5921,0.6845,175.59,22.01,2.85,20.27,4.37,3.74,73.1,4.9,0,0.422,Médio
2019-04-07,-7.8649,-60.1413,4,25.47,82.0,0.5592,0.5924,141.66,12.1,0.85,8.66,28.81,15.77,181.3,0.0,0,0.1768,Baixo
2022-04-29,-9.3813,-71.5452,4,28.97,82.7,0.6243,0.5359,92.89,8.15,0.29,24.25,2.89,6.7,158.6,0.0,0,0.4099,Médio
2018-07-07,-4.1461,-50.9842,7,30.1,62.86,0.5449,0.131,15.51,9.47,5.76,13.2,10.11,1.53,506.5,29.7,1,0.3829,Médio
2018-08-18,-12.1815,-67.3618,8,29.9,53.59,0.5628,0.0757,31.31,2.97,5.89,3.93,23.19,21.59,226.3,30.1,1,0.5471,Médio
2022-11-22,1.0439,-65.7586,11,29.48,81.15,0.7094,0.6554,186.68,18.43,6.72,29.25,25.69,4.13,125.6,0.0,0,0.3548,Médio
2021-05-14,-13.509,-68.3882,5,29.01,70.26,0.6092,0.5559,132.97,18.38,2.39,3.47,33.33,12.0,366.8,0.0,0,0.4147,Médio
2022-03-26,4.7377,-63.754,3,27.89,70.47,0.5923,0.6679,165.38,7.94,1.51,5.29,48.91,3.43,399.2,0.0,0,0.2258,Baixo
2019-08-15,0.4449,-51.811,8,31.21,43.25,0.5248,0.0739,38.7,11.09,11.94,42.55,1.94,6.93,400.1,49.2,1,0.5213,Médio
2021-05-19,-11.0257,-58.4572,5,26.58,83.36,0.6818,0.6047,151.32,12.38,4.67,26.98,3.36,16.94,259.3,19.7,0,0.3225,Baixo
2020-12-20,-14.8896,-67.2633,12,27.47,70.68,0.67,0.6815,177.92,8.16,1.43,24.92,2.51,1.71,338.2,0.0,0,0.2863,Baixo
2021-01-05,1.3092,-48.4208,1,24.81,74.37,0.5493,0.5273,130.17,4.98,4.72,13.54,22.01,37.83,202.5,0.8,0,0.2165,Baixo
2021-05-30,-0.8629,-48.3717,5,26.52,70.45,0.6067,0.5692,132.74,11.16,1.04,12.62,1.71,0.73,551.2,12.8,0,0.3912,Médio
2020-11-16,-0.4199,-48.6238,11,29.3,78.48,0.6485,0.5679,149.64,10.72,0.52,29.3,54.83,7.64,471.6,0.0,0,0.4653,Médio
2020-02-23,0.4254,-66.3137,2,30.85,73.12,0.6744,0.5251,130.8,10.45,0.53,33.68,10.09,24.77,462.4,0.0,0,0.4799,Médio
2019-05-19,-13.5191,-60.3653,5,27.16,68.48,0.6884,0.6101,165.24,12.89,2.17,17.84,112.01,29.13,419.1,8.7,0,0.1925,Baixo
2021-11-03,-7.8307,-45.4203,11,29.51,77.21,0.6572,0.5217,128.6,17.72,1.39,87.06,26.65,2.64,378.0,0.0,0,0.4322,Médio
2019-02-17,-12.6826,-51.3837,2,24.17,67.83,0.6665,0.6478,156.79,10.79,2.15,77.92,23.65,1.55,113.3,11.5,0,0.0742,Baixo
2021-06-17,2.2621,-72.2393,6,35.32,50.81,0.5042,0.1172,26.99,12.68,7.32,13.29,60.66,12.89,395.0,34.8,1,0.6592,Alto
2019-03-02,-2.534,-71.1743,3,26.39,64.47,0.6843,0.5678,156.45,14.91,0.05,42.96,49.95,0.43,317.1,0.0,0,0.24,Baixo
2021-02-15,-8.382,-60.0099,2,28.61,67.88,0.6656,0.6608,136.21,14.22,0.11,19.59,37.39,6.64,489.5,0.0,0,0.4527,Médio
2021-09-25,-13.7288,-47.5418,9,33.5,55.89,0.5033,0.1877,19.83,9.54,6.52,17.92,109.43,15.91,421.1,32.0,1,0.6194,Médio
2019-02-04,-8.7804,-57.9163,2,30.64,65.18,0.6366,0.5127,152.88,12.39,0.42,1.41,21.95,8.22,382.6,0.0,0,0.4237,Médio
2018-04-20,-8.4963,-59.0612,4,26.25,67.59,0.6541,0.5739,156.06,14.19,2.0,21.33,66.12,2.08,47.4,0.0,0,0.1963,Baixo
2018-08-28,-0.4079,-70.0467,8,35.26,54.99,0.5242,0.1719,29.87,7.49,6.61,57.71,19.13,6.68,286.6,33.6,1,0.7154,Alto
2021-01-10,-2.2489,-54.6102,1,27.44,72.28,0.6634,0.7185,201.16,17.05,1.76,37.87,72.89,25.42,216.3,0.0,0,0.2359,Baixo
2022-03-31,2.7443,-49.9811,3,27.68,84.96,0.669,0.466,120.28,17.73,0.72,38.58,12.02,9.6,337.9,0.0,0,0.3045,Baixo
2018-03-24,-5.5557,-62.3482,3,27.63,84.17,0.7171,0.6541,148.07,9.11,2.04,4.36,13.66,12.78,237.7,1.4,0,0.2367,Baixo
2021-09-01,-12.6081,-51.2829,9,32.31,50.66,0.5133,0.1413,0.0,12.77,8.54,11.1,45.31,4.1,258.6,36.6,1,0.6211,Médio
2019-09-15,-0.7351,-45.9947,9,33.97,57.79,0.4676,0.2064,41.16,14.57,17.5,6.64,9.57,2.09,368.9,43.1,1,0.7679,Alto
2020-05-23,0.2157,-67.2945,5,27.87,78.75,0.6942,0.6009,116.54,9.82,3.65,9.49,10.41,2.95,235.2,5.8,0,0.2749,Baixo
2022-08-23,-3.7745,-58.3468,8,34.48,52.01,0.4317,0.1659,21.65,13.93,6.63,21.66,14.57,7.62,318.2,31.6,1,0.7396,Alto
2019-08-29,0.4193,-64.9601,8,34.17,47.52,0.4459,0.1601,18.84,12.65,5.43,11.34,45.44,3.29,72.1,28.2,1,0.6813,Alto
2020-04-29,-5.1241,-50.8001,4,29.6,74.94,0.6668,0.6947,158.43,6.13,2.29,20.56,88.07,7.81,175.1,8.4,0,0.3879,Médio
2018-01-25,-4.5453,-56.8274,1,29.85,74.14,0.6758,0.6219,133.42,13.84,5.55,14.43,44.9,12.3,398.4,1.0,0,0.391,Médio
2018-05-29,-6.4492,-55.2317,5,25.9,72.82,0.5877,0.5222,132.14,7.6,0.48,8.44,70.37,13.26,115.5,0.0,0,0.248,Baixo
2019-04-17,-14.4916,-50.6584,4,29.74,77.21,0.6309,0.7178,193.08,15.76,0.59,2.51,31.37,1.8,486.9,0.0,0,0.3988,Médio
2018-02-20,-12.8422,-61.9128,2,25.63,71.25,0.6197,0.5839,158.54,9.32,0.32,55.6,2.86,13.88,446.2,0.0,0,0.2295,Baixo
2021-02-26,-14.3714,-47.3775,2,29.18,69.24,0.6257,0.5915,133.17,11.35,2.67,0.29,4.24,11.17,259.8,0.0,0,0.4333,Médio
2020-02-18,-2.2718,-58.0752,2,29.24,75.55,0.6972,0.6088,142.47,17.49,1.04,0.04,32.33,0.12,749.8,0.0,0,0.4444,Médio
2020-09-27,-8.7129,-68.5773,9,30.18,56.93,0.5353,0.1895,79.36,13.99,5.13,43.83,15.89,0.61,486.5,23.1,1,0.5335,Médio
2018-11-15,-4.8286,-53.5148,11,28.19,69.12,0.649,0.5798,142.95,7.68,4.16,143.7,9.97,10.39,157.6,19.0,0,0.2504,Baixo
2019-06-25,3.1513,-50.7887,6,33.06,59.64,0.4727,0.1319,9.32,7.94,6.63,32.47,25.11,4.84,411.9,51.5,1,0.6521,Alto
2021-04-26,-10.0142,-64.1307,4,26.48,66.15,0.5825,0.5371,129.45,9.6,0.8,0.38,43.92,1.58,309.9,0.0,0,0.3652,Médio
2022-10-28,-6.7923,-48.999,10,30.7,72.11,0.721,0.5828,133.53,13.58,0.84,6.43,19.44,0.45,183.5,0.0,0,0.4199,Médio
2018-04-03,0.111,-47.628,4,26.69,73.71,0.6796,0.6046,132.17,13.43,0.69,89.23,64.89,1.74,139.5,0.0,0,0.2251,Baixo
2022-06-13,-10.424,-65.2467,6,32.39,51.82,0.4647,0.0985,0.0,8.63,6.22,41.34,53.66,31.59,449.2,34.6,1,0.5821,Médio
2020-11-18,-13.4604,-45.4614,11,28.15,72.17,0.686,0.5438,116.27,7.33,0.82,20.91,53.11,13.0,210.3,0.0,0,0.2591,Baixo
2020-10-26,-9.205,-69.0601,10,29.37,84.36,0.6465,0.6194,125.12,13.13,1.59,6.76,168.5,7.5,284.7,0.0,0,0.3015,Baixo
2020-07-02,-11.7756,-67.3436,7,33.72,50.75,0.4856,0.2192,47.75,11.27,7.97,0.36,14.0,28.39,161.8,33.8,1,0.7134,Alto
2018-05-07,3.594,-67.8417,5,30.33,87.21,0.6718,0.5872,138.56,20.63,2.24,0.53,41.39,9.65,187.8,0.0,0,0.3724,Médio
2018-06-14,1.1624,-47.9683,6,35.06,57.19,0.4629,0.0997,23.79,12.15,5.7,23.67,77.37,12.93,281.0,57.1,1,0.6908,Alto
2021-01-01,-2.3319,-54.6798,1,23.64,75.46,0.6328,0.7098,188.1,19.26,1.5,0.55,34.65,3.32,358.2,8.7,0,0.2586,Baixo
2019-09-15,2.4292,-68.7411,9,32.94,57.38,0.5061,0.2542,68.85,7.32,8.67,126.4,62.33,8.89,88.3,31.4,1,0.5932,Médio
2022-08-02,1.0734,-60.6709,8,32.88,67.65,0.475,0.2073,21.54,5.71,5.14,5.06,21.41,1.55,302.5,38.2,1,0.7024,Alto
2020-01-13,-11.2686,-55.7717,1,28.96,70.03,0.6835,0.5645,131.07,7.52,0.16,31.01,35.71,5.18,188.1,0.0,0,0.336,Baixo
2018-09-19,2.8512,-70.663,9,28.75,49.4,0.5935,0.0173,4.07,16.76,6.62,4.21,2.29,0.34,510.4,32.1,1,0.4798,Médio
2021-07-28,-4.2132,-48.2923,7,39.1,51.23,0.4623,0.1166,50.78,19.02,7.04,19.42,170.09,2.44,741.4,48.0,1,0.8036,Alto
2019-06-20,1.1488,-50.4991,6,35.06,55.16,0.4167,0.1845,23.86,8.87,5.48,2.1,64.38,0.78,246.1,39.6,1,0.6656,Alto
2020-08-16,2.9218,-58.8542,8,34.3,46.37,0.3999,0.1083,18.41,10.16,7.73,36.39,81.24,4.91,41.7,30.3,1,0.6679,Alto
2021-06-27,-8.6399,-45.9205,6,36.36,55.11,0.4925,0.133,5.59,7.32,7.08,21.98,47.41,18.52,317.5,37.9,1,0.6132,Médio
2022-07-01,-12.799,-61.3027,7,38.69,63.47,0.4668,0.1195,6.91,4.75,10.14,2.25,8.23,4.75,269.2,56.6,1,0.8644,Alto
2021-12-16,-10.4413,-45.4449,12,29.74,75.76,0.6604,0.6109,159.6,14.87,0.37,47.19,1.26,17.82,595.7,0.0,0,0.3006,Baixo
2021-05-19,-6.4578,-54.2982,5,29.9,73.54,0.6566,0.5163,110.54,12.89,2.78,19.8,80.0,10.69,550.0,0.0,0,0.3144,Baixo
2021-05-25,1.3603,-55.2292,5,28.26,71.91,0.5698,0.6164,179.85,12.04,0.17,63.65,20.19,7.12,429.8,10.5,0,0.3639,Médio
2022-09-23,2.2146,-68.3533,9,33.72,59.49,0.4093,0.1272,13.98,6.4,6.67,62.11,12.25,2.7,212.0,34.8,1,0.6071,Médio
2019-06-24,-14.861,-48.306,6,33.05,50.87,0.5148,0.1218,25.51,18.56,6.61,63.3,32.99,25.53,401.7,32.8,1,0.6119,Médio
2018-01-03,-4.7851,-61.0303,1,26.35,84.23,0.6568,0.5012,109.89,9.99,0.98,2.02,21.85,0.56,339.8,0.0,0,0.2555,Baixo
2019-05-12,-6.6518,-68.4575,5,26.63,84.67,0.6287,0.5831,149.63,14.13,3.72,3.22,42.18,11.68,336.2,7.3,0,0.3507,Médio
2019-02-02,-10.5578,-72.647,2,25.3,76.28,0.5671,0.569,140.15,6.18,0.01,109.97,26.45,9.71,66.3,4.7,0,0.1634,Baixo
2021-04-22,-12.6027,-57.3268,4,27.85,74.94,0.6736,0.6431,148.5,11.24,1.47,16.72,47.79,5.82,459.3,0.0,0,0.1942,Baixo
2021-03-02,-8.2477,-58.2328,3,24.63,80.15,0.7136,0.6818,194.15,13.17,0.49,6.8,76.81,2.75,316.2,0.0,0,0.1684,Baixo
2020-12-19,3.8582,-52.8581,12,28.38,80.47,0.6639,0.6618,155.33,13.31,2.72,36.71,8.7,5.63,284.9,0.0,0,0.2177,Baixo
2018-01-30,-8.5359,-48.0728,1,27.93,70.97,0.6076,0.6292,126.16,12.62,0.09,7.67,15.99,20.62,210.0,0.0,0,0.2631,Baixo
2021-08-23,-4.6242,-70.7766,8,34.29,52.37,0.5022,0.1601,8.66,13.98,8.56,32.48,22.97,18.13,181.0,30.7,1,0.6093,Médio
2019-08-14,-0.9396,-52.5181,8,32.96,48.39,0.4317,0.2224,47.85,7.48,8.64,45.39,130.87,28.37,347.6,30.2,1,0.5081,Médio
2021-04-28,-7.7274,-67.7525,4,34.15,77.05,0.7029,0.6943,188.96,12.79,3.58,38.34,18.19,3.68,37.6,0.0,0,0.5153,Médio
2020-10-12,4.4356,-48.971,10,30.72,78.33,0.6541,0.6602,158.46,12.46,0.33,8.01,19.19,4.9,418.4,15.7,0,0.3676,Médio
2019-09-18,4.2489,-50.0662,9,31.51,48.25,0.4116,0.2058,50.66,12.93,6.99,12.84,42.39,0.19,141.9,25.4,1,0.49,Médio
2018-09-03,-9.9644,-57.8578,9,34.47,52.72,0.485,0.2458,48.29,12.29,5.03,13.33,21.73,28.64,8.8,30.3,1,0.7471,Alto
2018-06-22,-5.055,-53.1132,6,32.78,48.26,0.5232,0.2758,72.57,6.91,8.77,16.9,120.82,4.0,573.3,24.5,1,0.5261,Médio
2022-02-26,-8.9824,-64.1982,2,25.97,70.51,0.6333,0.465,91.51,6.73,2.57,4.58,89.95,5.18,171.3,2.5,0,0.1106,Baixo
2022-08-04,-9.3032,-59.8073,8,31.32,57.76,0.4862,0.2448,50.02,3.14,6.51,15.06,28.81,23.84,191.7,25.8,1,0.521,Médio
2021-03-31,-14.2623,-49.9942,3,28.86,71.33,0.5888,0.6636,179.51,15.27,2.62,17.87,41.4,7.48,470.2,0.0,0,0.3113,Baixo
2018-07-08,-2.8087,-60.1406,7,32.64,53.5,0.5283,0.0947,0.0,15.31,5.2,18.97,2.39,8.35,578.2,44.8,1,0.5435,Médio
2020-01-04,-4.9464,-62.9816,1,29.94,66.86,0.6176,0.523,123.43,15.37,1.5,42.86,47.59,1.94,70.0,17.6,0,0.4264,Médio
2021-08-23,-13.9704,-59.1621,8,35.99,55.93,0.3922,0.1173,4.48,13.23,5.69,18.21,49.13,6.9,156.6,41.5,1,0.6808,Alto
2021-11-24,-9.4271,-49.809,11,30.75,74.78,0.6314,0.6061,128.14,3.47,7.2,6.56,17.8,25.04,167.6,0.0,0,0.423,Médio
2018-08-04,3.1653,-63.6142,8,32.3,51.36,0.5491,0.1755,15.55,7.89,8.89,27.2,9.92,8.18,440.2,29.4,1,0.6225,Médio
2018-01-01,-10.2088,-68.1347,1,28.95,74.05,0.6307,0.6322,157.28,12.68,2.64,39.9,98.64,2.95,545.9,0.0,0,0.3771,Médio
2021-07-23,-12.1021,-53.0636,7,35.26,55.9,0.5869,0.2419,55.97,12.54,10.43,9.62,22.25,0.32,138.0,26.8,1,0.7362,Alto
2019-10-13,-5.2109,-49.8726,10,27.05,70.93,0.6714,0.7285,182.44,11.11,0.85,25.91,42.42,4.1,512.2,0.0,0,0.1357,Baixo
2019-04-10,4.713,-70.1822,4,26.46,67.62,0.6669,0.5422,124.87,13.48,4.62,3.97,1.36,8.5,193.6,25.1,0,0.2696,Baixo
2018-01-24,-10.1589,-66.2835,1,31.22,84.03,0.6436,0.4935,124.66,12.05,0.79,10.46,21.38,0.44,350.4,4.7,0,0.442,Médio
2020-09-13,-1.5573,-69.0248,9,34.45,51.83,0.4966,0.304,69.47,12.48,7.64,59.98,67.99,9.41,109.3,41.8,1,0.5948,Médio
2022-04-03,0.2324,-63.2576,4,29.27,74.52,0.6368,0.6123,169.4,9.44,2.67,60.56,19.61,7.41,281.7,2.8,0,0.3439,Baixo
2022-10-14,-10.2472,-60.3902,10,26.36,80.05,0.6349,0.5705,152.49,15.93,0.04,21.41,36.97,15.3,283.3,0.0,0,0.1902,Baixo
2020-10-29,-0.4357,-52.0329,10,25.56,92.65,0.6765,0.5386,164.2,10.28,0.9,30.3,9.42,0.29,252.7,0.0,0,0.1312,Baixo
2020-07-27,-7.6443,-54.7679,7,32.86,48.78,0.4532,0.1868,29.11,6.68,5.04,48.11,21.55,15.18,357.7,31.5,1,0.7027,Alto
2018-06-05,-2.3539,-55.614,6,33.75,57.25,0.4462,0.1104,45.74,8.92,16.68,79.58,105.04,7.36,148.9,90.1,1,0.6144,Médio
2020-09-28,-2.3294,-63.1335,9,31.87,51.46,0.4438,0.1023,19.92,10.61,5.26,16.83,33.43,4.63,167.4,31.3,1,0.6017,Médio
2019-11-25,-4.2845,-49.4395,11,27.98,72.31,0.7523,0.6455,158.06,15.98,1.57,20.61,92.88,33.63,365.7,0.0,0,0.267,Baixo
2021-01-13,-13.1942,-59.804,1,24.62,71.4,0.6765,0.5455,104.68,11.83,3.13,13.43,92.92,1.74,501.3,0.0,0,0.1797,Baixo
2019-12-11,1.706,-45.5851,12,25.76,69.37,0.6652,0.5261,129.37,11.26,0.45,1.87,115.4,7.79,296.6,0.0,0,0.2033,Baixo
2019-03-15,-8.5844,-55.244,3,29.34,74.79,0.5971,0.5527,129.69,7.01,1.33,13.74,90.3,3.87,375.6,0.0,0,0.2806,Baixo
2018-06-23,-11.2696,-69.4646,6,35.21,47.63,0.5312,0.0939,18.77,15.14,6.87,39.09,0.13,7.5,413.7,32.5,1,0.6069,Médio
